ID,MONTHS_BALANCE,STATUS
5000000,-28,1
5000000,-27,0
5000000,-26,C
5000000,-25,C
5000000,-24,C
5000000,-23,C
5000000,-22,C
5000000,-21,C
5000000,-20,C
5000000,-19,C
5000000,-18,C
5000000,-17,0
5000000,-16,X
5000000,-15,1
5000000,-14,C
5000000,-13,C
5000000,-12,C
5000000,-11,C
5000000,-10,C
5000000,-9,0
5000000,-8,1
5000000,-7,C
5000000,-6,C
5000000,-5,C
5000000,-4,C
5000000,-3,C
5000000,-2,C
5000000,-1,C
5000000,0,C
5000001,-18,C
5000001,-17,1
5000001,-16,C
5000001,-15,0
5000001,-14,0
5000001,-13,0
5000001,-12,0
5000001,-11,X
5000001,-10,0
5000001,-9,C
5000001,-8,C
5000001,-7,1
5000001,-6,0
5000001,-5,0
5000001,-4,0
5000001,-3,0
5000001,-2,0
5000001,-1,0
5000001,0,X
5000002,-29,C
5000002,-28,0
5000002,-27,C
5000002,-26,C
5000002,-25,C
5000002,-24,X
5000002,-23,X
5000002,-22,C
5000002,-21,C
5000002,-20,X
5000002,-19,0
5000002,-18,0
5000002,-17,C
5000002,-16,0
5000002,-15,0
5000002,-14,0
5000002,-13,X
5000002,-12,C
5000002,-11,0
5000002,-10,C
5000002,-9,C
5000002,-8,X
5000002,-7,1
5000002,-6,C
5000002,-5,X
5000002,-4,C
5000002,-3,0
5000002,-2,X
5000002,-1,C
5000002,0,C
5000003,-17,C
5000003,-16,X
5000003,-15,C
5000003,-14,0
5000003,-13,C
5000003,-12,X
5000003,-11,C
5000003,-10,C
5000003,-9,X
5000003,-8,C
5000003,-7,0
5000003,-6,X
5000003,-5,X
5000003,-4,C
5000003,-3,C
5000003,-2,C
5000003,-1,X
5000003,0,C
5000004,-27,C
5000004,-26,C
5000004,-25,C
5000004,-24,C
5000004,-23,C
5000004,-22,C
5000004,-21,X
5000004,-20,C
5000004,-19,C
5000004,-18,C
5000004,-17,C
5000004,-16,C
5000004,-15,0
5000004,-14,0
5000004,-13,C
5000004,-12,0
5000004,-11,C
5000004,-10,C
5000004,-9,1
5000004,-8,0
5000004,-7,1
5000004,-6,C
5000004,-5,C
5000004,-4,X
5000004,-3,X
5000004,-2,C
5000004,-1,0
5000004,0,X
5000005,-1,X
5000005,0,C
5000006,-21,C
5000006,-20,0
5000006,-19,1
5000006,-18,0
5000006,-17,0
5000006,-16,X
5000006,-15,0
5000006,-14,C
5000006,-13,0
5000006,-12,X
5000006,-11,C
5000006,-10,X
5000006,-9,X
5000006,-8,X
5000006,-7,C
5000006,-6,0
5000006,-5,C
5000006,-4,C
5000006,-3,0
5000006,-2,X
5000006,-1,C
5000006,0,C
5000007,-22,C
5000007,-21,C
5000007,-20,0
5000007,-19,C
5000007,-18,C
5000007,-17,0
5000007,-16,0
5000007,-15,C
5000007,-14,C
5000007,-13,0
5000007,-12,C
5000007,-11,0
5000007,-10,C
5000007,-9,C
5000007,-8,C
5000007,-7,0
5000007,-6,0
5000007,-5,C
5000007,-4,X
5000007,-3,C
5000007,-2,C
5000007,-1,0
5000007,0,C
5000008,-18,0
5000008,-17,2
5000008,-16,C
5000008,-15,C
5000008,-14,0
5000008,-13,2
5000008,-12,0
5000008,-11,C
5000008,-10,3
5000008,-9,3
5000008,-8,C
5000008,-7,1
5000008,-6,0
5000008,-5,0
5000008,-4,0
5000008,-3,0
5000008,-2,0
5000008,-1,0
5000008,0,0
5000009,-10,X
5000009,-9,1
5000009,-8,C
5000009,-7,C
5000009,-6,0
5000009,-5,C
5000009,-4,X
5000009,-3,C
5000009,-2,0
5000009,-1,C
5000009,0,C
5000010,-6,C
5000010,-5,C
5000010,-4,C
5000010,-3,X
5000010,-2,X
5000010,-1,X
5000010,0,X
5000011,-3,4
5000011,-2,1
5000011,-1,5
5000011,0,0
5000012,-22,C
5000012,-21,0
5000012,-20,C
5000012,-19,C
5000012,-18,0
5000012,-17,C
5000012,-16,C
5000012,-15,1
5000012,-14,0
5000012,-13,0
5000012,-12,C
5000012,-11,C
5000012,-10,0
5000012,-9,X
5000012,-8,0
5000012,-7,C
5000012,-6,C
5000012,-5,1
5000012,-4,X
5000012,-3,C
5000012,-2,C
5000012,-1,C
5000012,0,C
5000013,-10,1
5000013,-9,0
5000013,-8,C
5000013,-7,C
5000013,-6,0
5000013,-5,C
5000013,-4,0
5000013,-3,X
5000013,-2,0
5000013,-1,0
5000013,0,X
5000014,-14,3
5000014,-13,5
5000014,-12,0
5000014,-11,5
5000014,-10,C
5000014,-9,0
5000014,-8,C
5000014,-7,0
5000014,-6,1
5000014,-5,2
5000014,-4,1
5000014,-3,1
5000014,-2,0
5000014,-1,1
5000014,0,0
5000015,-10,X
5000015,-9,X
5000015,-8,0
5000015,-7,C
5000015,-6,C
5000015,-5,0
5000015,-4,C
5000015,-3,0
5000015,-2,C
5000015,-1,C
5000015,0,0
5000016,-1,C
5000016,0,C
5000017,-31,X
5000017,-30,X
5000017,-29,C
5000017,-28,X
5000017,-27,C
5000017,-26,0
5000017,-25,C
5000017,-24,C
5000017,-23,0
5000017,-22,C
5000017,-21,C
5000017,-20,C
5000017,-19,0
5000017,-18,0
5000017,-17,0
5000017,-16,C
5000017,-15,X
5000017,-14,C
5000017,-13,C
5000017,-12,0
5000017,-11,C
5000017,-10,C
5000017,-9,0
5000017,-8,0
5000017,-7,C
5000017,-6,C
5000017,-5,X
5000017,-4,C
5000017,-3,C
5000017,-2,C
5000017,-1,1
5000017,0,C
5000018,-5,C
5000018,-4,C
5000018,-3,0
5000018,-2,0
5000018,-1,C
5000018,0,0
5000019,-3,C
5000019,-2,0
5000019,-1,C
5000019,0,X
5000020,0,X
5000021,0,X
5000022,-13,C
5000022,-12,0
5000022,-11,0
5000022,-10,C
5000022,-9,0
5000022,-8,C
5000022,-7,0
5000022,-6,X
5000022,-5,C
5000022,-4,C
5000022,-3,C
5000022,-2,C
5000022,-1,C
5000022,0,X
5000023,-11,X
5000023,-10,X
5000023,-9,0
5000023,-8,X
5000023,-7,X
5000023,-6,C
5000023,-5,C
5000023,-4,C
5000023,-3,C
5000023,-2,C
5000023,-1,X
5000023,0,C
5000024,-33,0
5000024,-32,C
5000024,-31,4
5000024,-30,1
5000024,-29,0
5000024,-28,5
5000024,-27,0
5000024,-26,0
5000024,-25,1
5000024,-24,0
5000024,-23,1
5000024,-22,C
5000024,-21,C
5000024,-20,0
5000024,-19,0
5000024,-18,C
5000024,-17,4
5000024,-16,0
5000024,-15,C
5000024,-14,0
5000024,-13,2
5000024,-12,0
5000024,-11,C
5000024,-10,C
5000024,-9,0
5000024,-8,0
5000024,-7,1
5000024,-6,3
5000024,-5,0
5000024,-4,2
5000024,-3,3
5000024,-2,3
5000024,-1,4
5000024,0,2
5000025,-8,X
5000025,-7,X
5000025,-6,C
5000025,-5,0
