ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE
5000000,M,Y,Y,0,259000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8395,-1460,1,0,0,0,IT staff
5000001,F,N,Y,1,156000.0,Working,Incomplete higher,Married,House / apartment,-10950,-2190,1,0,1,1,Waiters/barmen staff
5000002,F,N,N,0,98000.0,State servant,Higher education,Single / not married,House / apartment,-12775,-365,1,0,0,0,IT staff
5000003,F,N,Y,0,167000.0,Working,Secondary / secondary special,Married,House / apartment,-13140,-730,1,0,0,0,Core staff
5000004,M,N,Y,0,106000.0,Working,Incomplete higher,Married,House / apartment,-13505,-365,1,0,0,0,Laborers
5000005,M,N,N,1,94000.0,Working,Secondary / secondary special,Married,House / apartment,-14235,-7300,1,0,1,0,Core staff
5000006,M,N,Y,2,75000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11315,365243,1,1,0,0,
5000007,F,N,N,0,55000.0,Working,Secondary / secondary special,Married,House / apartment,-9125,-1825,1,0,0,0,Cooking staff
5000008,F,Y,Y,0,110000.0,Working,Secondary / secondary special,Married,House / apartment,-9125,-2190,1,0,1,0,Cooking staff
5000009,F,N,Y,0,144000.0,Working,Higher education,Widow,House / apartment,-12410,-1095,1,0,0,0,HR staff
5000010,M,Y,Y,0,127000.0,Working,Secondary / secondary special,Married,House / apartment,-16790,-8395,1,0,0,0,Cleaning staff
5000011,F,N,Y,0,108000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-10220,365243,1,0,1,0,
5000012,F,N,N,0,83000.0,Working,Secondary / secondary special,Married,House / apartment,-9125,-1095,1,0,1,0,High skill tech staff
5000013,M,Y,Y,0,181000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9855,-2190,1,0,0,0,Private service staff
5000014,M,N,Y,0,69000.0,Working,Secondary / secondary special,Married,House / apartment,-13140,-2190,1,0,0,0,Sales staff
5000015,M,N,Y,0,196000.0,Working,Secondary / secondary special,Married,House / apartment,-12410,-5840,1,0,1,0,Private service staff
5000016,M,Y,Y,1,81000.0,State servant,Higher education,Single / not married,House / apartment,-20805,-6570,1,0,0,0,Laborers
5000017,F,N,N,0,91000.0,Working,Secondary / secondary special,Married,House / apartment,-22265,-12410,1,0,1,0,Cooking staff
5000018,F,N,Y,0,64000.0,State servant,Higher education,Married,House / apartment,-8760,-2190,1,0,0,0,High skill tech staff
5000019,M,Y,Y,1,104000.0,Working,Secondary / secondary special,Married,Municipal apartment,-20440,-13870,1,1,0,0,Cleaning staff
5000020,F,N,N,0,217000.0,Working,Higher education,Married,House / apartment,-13505,-730,1,0,0,0,Sales staff
5000021,M,Y,Y,0,172000.0,Pensioner,Higher education,Married,House / apartment,-20440,365243,1,0,1,0,
5000022,M,N,N,0,217000.0,Working,Secondary / secondary special,Married,House / apartment,-9490,0,1,1,1,0,Managers
5000023,M,N,Y,0,173000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13140,-3285,1,0,0,0,Security staff
5000024,F,N,Y,0,77000.0,State servant,Higher education,Married,House / apartment,-17885,-5110,1,1,1,0,High skill tech staff
5000025,F,N,Y,0,113000.0,Working,Secondary / secondary special,Married,House / apartment,-20440,-10220,1,0,0,1,Laborers
5000026,M,N,N,2,90000.0,Working,Incomplete higher,Separated,House / apartment,-21170,-1825,1,0,0,0,Medicine staff
